dog_ID,dog_name,survey_ID,survey_token,date_of_birth,test_date,test_time,sex,stranger_name,object_combination,trial_number,condition_id,owner_presence,stranger_presence,owner_chair,stranger_chair,head_centre-snout,ear-ear,ear-head_centre
24,Leon3,25,24,10.10.2008.,9.9.2020.,12,M,Lejla,4-10-3-7,2,pa,p,a,window,door,18,14,10
24,Leon3,25,24,10.10.2008.,9.9.2020.,12,M,Lejla,9-6-16-1,3,ap,a,p,window,door,18,14,10
24,Leon3,25,24,10.10.2008.,9.9.2020.,12,M,Lejla,15-14-11-12,4,pp,p,p,window,door,18,14,10
25,Aruba,26,25,5.10.2016.,29.9.2020.,16:30,F,Damjan,11-14-16-9,1,pp,p,p,door,window,15,12,7
25,Aruba,26,25,5.10.2016.,29.9.2020.,16:30,F,Damjan,7-15-3-10,2,pa,p,a,door,window,15,12,7
25,Aruba,26,25,5.10.2016.,29.9.2020.,16:30,F,Damjan,8-12-6-5,3,ap,a,p,door,window,15,12,7
25,Aruba,26,25,5.10.2016.,29.9.2020.,16:30,F,Damjan,4-13-2-1,4,aa,a,a,door,window,15,12,7
26,Boogie,27,26,18.12.2012. ,29.9.2020.,16:30,F,Damjan,5-15-11-6,1,pp,p,p,window,door,14,12,7
26,Boogie,27,26,18.12.2012. ,29.9.2020.,16:30,F,Damjan,7-14-12-1,2,ap,a,p,window,door,14,12,7
26,Boogie,27,26,18.12.2012. ,29.9.2020.,16:30,F,Damjan,9-3-13-2,3,pa,p,a,window,door,14,12,7
26,Boogie,27,26,18.12.2012. ,29.9.2020.,16:30,F,Damjan,4-16-10-8,4,aa,a,a,window,door,14,12,7
27,Bishuji,28,27,28.10.2016.,17.9.2020.,18,F,Blaz,3-16-11-14,1,pp,p,p,door,window,16,13,8
27,Bishuji,28,27,28.10.2016.,17.9.2020.,18,F,Blaz,7-2-5-15,2,aa,a,a,door,window,16,13,8
27,Bishuji,28,27,28.10.2016.,17.9.2020.,18,F,Blaz,12-6-8-9,3,ap,a,p,door,window,16,13,8
27,Bishuji,28,27,28.10.2016.,17.9.2020.,18,F,Blaz,1-10-13-4,4,pa,p,a,door,window,16,13,8
29,Hailey,30,29,20.9.2012.,16.9.2020.,11,F,Nora,7-3-14-1,1,pp,p,p,door,window,14.5,12,8.5
29,Hailey,30,29,20.9.2012.,16.9.2020.,11,F,Nora,5-8-11-15,2,pa,p,a,door,window,14.5,12,8.5
29,Hailey,30,29,20.9.2012.,16.9.2020.,11,F,Nora,13-10-12-9,3,aa,a,a,door,window,14.5,12,8.5
29,Hailey,30,29,20.9.2012.,16.9.2020.,11,F,Nora,16-6-4-2,4,ap,a,p,door,window,14.5,12,8.5
30,Butch,31,30,7.5.2019.,23.9.2020.,10:30,M,Damjan,14-5-1-4,1,pp,p,p,window,door,12,11,8
30,Butch,31,30,7.5.2019.,23.9.2020.,10:30,M,Damjan,10-16-12-6,2,ap,a,p,window,door,12,11,8
30,Butch,31,30,7.5.2019.,23.9.2020.,10:30,M,Damjan,15-3-11-2,3,aa,a,a,window,door,12,11,8
30,Butch,31,30,7.5.2019.,23.9.2020.,10:30,M,Damjan,7-13-8-9,4,pa,p,a,window,door,12,11,8
